"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 12일","60.87","63.28","63.60","59.70","1.10M","-4.56%"
"2021년 04월 09일","63.78","63.55","64.56","62.29","1.05M","-1.79%"
"2021년 04월 08일","64.94","62.09","66.05","61.92","1.38M","3.00%"
"2021년 04월 07일","63.05","66.52","66.52","61.88","1.44M","-3.46%"
"2021년 04월 06일","65.31","64.09","67.57","63.78","1.24M","3.06%"
"2021년 04월 05일","63.37","69.00","69.50","62.70","1.40M","-7.46%"
"2021년 04월 01일","68.48","67.18","70.00","66.80","1.05M","3.69%"
"2021년 03월 31일","66.04","66.77","68.34","65.28","1.62M","0.78%"
"2021년 03월 30일","65.53","60.26","65.53","59.75","956.75K","8.64%"
"2021년 03월 29일","60.32","64.33","64.33","59.29","1.06M","-5.42%"
"2021년 03월 26일","63.78","65.50","67.34","61.10","2.25M","0.54%"
"2021년 03월 25일","63.44","60.30","63.86","58.50","1.92M","-0.27%"
"2021년 03월 24일","63.61","65.29","66.91","63.02","1.46M","0.74%"
"2021년 03월 23일","63.14","67.59","68.67","62.91","1.71M","-8.25%"
"2021년 03월 22일","68.82","67.58","70.24","66.91","1.45M","2.05%"
"2021년 03월 19일","67.44","69.39","69.50","66.65","2.46M","-0.57%"
"2021년 03월 18일","67.83","68.41","72.00","67.55","1.93M","-1.97%"
"2021년 03월 17일","69.19","66.86","70.26","66.72","5.98M","-7.87%"
"2021년 03월 16일","75.10","78.10","79.14","75.01","858.38K","-4.96%"
"2021년 03월 15일","79.02","79.80","80.35","77.21","974.57K","-1.90%"
"2021년 03월 12일","80.55","80.38","83.17","79.28","847.28K","-2.62%"
"2021년 03월 11일","82.72","84.42","84.42","80.44","1.03M","0.50%"
"2021년 03월 10일","82.31","81.16","85.22","79.99","939.07K","5.95%"
"2021년 03월 09일","77.69","78.20","82.32","77.63","1.13M","4.27%"
"2021년 03월 08일","74.50","75.70","77.68","71.64","1.16M","-2.31%"
"2021년 03월 05일","76.27","74.80","76.43","65.41","1.51M","3.26%"
"2021년 03월 04일","73.86","73.23","76.05","69.53","1.78M","-2.20%"
