,date,li_price
362,2016-06-22,129.0
363,2016-06-23,129.0
364,2016-06-24,129.0
365,2016-06-27,129.0
366,2016-06-28,129.0
367,2016-06-29,129.0
368,2016-06-30,129.0
369,2016-07-01,129.0
370,2016-07-04,129.0
371,2016-07-05,129.0
372,2016-07-06,129.0
373,2016-07-07,129.0
374,2016-07-08,129.0
375,2016-07-11,129.0
376,2016-07-12,129.0
377,2016-07-13,129.0
378,2016-07-14,129.0
379,2016-07-15,129.0
380,2016-07-18,129.0
381,2016-07-19,129.0
382,2016-07-20,129.0
383,2016-07-21,129.0
384,2016-07-22,129.0
385,2016-07-25,129.0
386,2016-07-26,129.0
387,2016-07-27,129.0
388,2016-07-28,129.0
389,2016-07-29,129.0
390,2016-08-01,129.0
391,2016-08-02,129.0
392,2016-08-03,126.0
393,2016-08-04,126.0
394,2016-08-05,126.0
395,2016-08-08,124.0
396,2016-08-09,124.0
397,2016-08-10,124.0
398,2016-08-11,124.0
399,2016-08-12,124.0
400,2016-08-15,124.0
401,2016-08-16,122.0
402,2016-08-17,122.0
403,2016-08-18,119.0
404,2016-08-19,119.0
405,2016-08-22,117.0
406,2016-08-23,117.0
407,2016-08-24,117.0
408,2016-08-25,116.0
409,2016-08-26,116.0
410,2016-08-29,116.0
411,2016-08-30,116.0
412,2016-08-31,116.0
413,2016-09-01,116.0
414,2016-09-02,116.0
415,2016-09-05,116.0
416,2016-09-06,116.0
417,2016-09-07,116.0
418,2016-09-08,116.0
419,2016-09-09,116.0
420,2016-09-12,116.0
421,2016-09-13,116.0
422,2016-09-14,116.0
423,2016-09-15,116.0
424,2016-09-16,116.0
425,2016-09-19,116.0
426,2016-09-20,116.0
427,2016-09-21,116.0
428,2016-09-22,116.0
429,2016-09-23,116.0
430,2016-09-26,116.0
431,2016-09-27,116.0
432,2016-09-28,116.0
433,2016-09-29,114.0
434,2016-09-30,114.0
435,2016-10-08,114.0
436,2016-10-09,112.0
437,2016-10-10,112.0
438,2016-10-11,112.0
439,2016-10-12,112.0
440,2016-10-13,112.0
441,2016-10-14,112.0
442,2016-10-17,112.0
443,2016-10-18,112.0
444,2016-10-19,112.0
445,2016-10-20,112.0
446,2016-10-21,112.0
447,2016-10-24,112.0
448,2016-10-25,112.0
449,2016-10-26,112.0
450,2016-10-27,112.0
451,2016-10-28,112.0
452,2016-10-31,112.0
453,2016-11-01,112.0
454,2016-11-02,112.0
455,2016-11-03,112.0
456,2016-11-04,112.0
457,2016-11-07,112.0
458,2016-11-08,112.0
459,2016-11-09,115.0
460,2016-11-10,115.0
461,2016-11-11,115.0
462,2016-11-14,115.0
463,2016-11-15,115.0
464,2016-11-16,115.0
465,2016-11-17,115.0
466,2016-11-18,115.0
467,2016-11-21,115.0
468,2016-11-22,115.0
469,2016-11-23,115.0
470,2016-11-24,115.0
471,2016-11-25,115.0
472,2016-11-28,113.0
473,2016-11-29,113.0
474,2016-11-30,113.0
475,2016-12-01,113.0
476,2016-12-02,113.0
477,2016-12-05,113.0
478,2016-12-06,113.0
479,2016-12-07,113.0
480,2016-12-08,113.0
481,2016-12-09,113.0
482,2016-12-12,113.0
483,2016-12-13,113.0
484,2016-12-14,113.0
485,2016-12-15,113.0
486,2016-12-16,113.0
487,2016-12-19,113.0
488,2016-12-20,113.0
489,2016-12-21,113.0
490,2016-12-22,113.0
491,2016-12-23,113.0
492,2016-12-26,113.0
493,2016-12-27,113.0
494,2016-12-28,113.0
495,2016-12-29,113.0
496,2016-12-30,113.0
497,2017-01-03,113.0
498,2017-01-04,113.0
499,2017-01-05,113.0
500,2017-01-06,113.0
501,2017-01-09,113.0
502,2017-01-10,113.0
503,2017-01-11,113.0
504,2017-01-12,113.0
505,2017-01-13,113.0
506,2017-01-16,113.0
507,2017-01-17,113.0
508,2017-01-18,113.0
