iter	Passed	Remaining
648	2914	1576
649	2918	1571
650	2922	1566
651	2926	1562
652	2931	1557
653	2935	1552
654	2939	1548
655	2943	1543
656	2948	1539
657	2952	1534
658	2956	1529
659	2960	1525
660	2965	1520
661	2969	1515
662	2973	1511
663	2977	1506
664	2981	1502
665	2986	1497
666	2990	1492
667	2994	1488
668	2998	1483
669	3002	1478
670	3007	1474
671	3011	1469
672	3015	1465
673	3019	1460
674	3024	1456
675	3028	1451
676	3032	1446
677	3036	1442
678	3041	1437
679	3045	1433
680	3049	1428
681	3054	1424
682	3059	1419
683	3063	1415
684	3068	1411
685	3073	1406
686	3077	1402
687	3081	1397
688	3086	1393
689	3090	1388
690	3094	1383
691	3098	1379
692	3103	1374
693	3107	1370
694	3111	1365
695	3116	1361
696	3120	1356
697	3124	1351
698	3128	1347
699	3133	1342
700	3137	1338
701	3141	1333
702	3145	1329
703	3150	1324
704	3154	1319
705	3158	1315
706	3162	1310
707	3167	1306
708	3171	1301
709	3175	1297
710	3179	1292
711	3183	1287
712	3187	1283
713	3191	1278
714	3196	1274
715	3201	1269
716	3206	1265
717	3211	1261
718	3216	1257
719	3221	1252
720	3225	1248
721	3230	1243
722	3235	1239
723	3239	1234
724	3244	1230
725	3248	1226
726	3253	1221
727	3257	1217
728	3263	1213
729	3268	1208
730	3273	1204
731	3278	1200
732	3283	1196
733	3288	1191
734	3299	1189
735	3304	1185
736	3308	1180
737	3314	1176
738	3319	1172
739	3324	1168
740	3331	1164
741	3336	1160
742	3340	1155
743	3345	1150
744	3349	1146
745	3353	1141
746	3357	1137
747	3362	1132
748	3366	1128
749	3370	1123
750	3375	1119
751	3380	1114
752	3384	1110
753	3388	1105
754	3392	1101
755	3397	1096
756	3401	1091
757	3405	1087
758	3410	1083
759	3415	1078
760	3419	1073
761	3424	1069
762	3429	1065
763	3433	1060
764	3438	1056
765	3443	1051
766	3447	1047
767	3453	1043
768	3458	1038
769	3462	1034
770	3467	1029
771	3473	1025
772	3478	1021
773	3484	1017
774	3489	1012
775	3494	1008
776	3498	1004
777	3503	999
778	3507	995
779	3512	990
780	3516	986
781	3521	981
782	3525	977
783	3531	972
784	3536	968
785	3541	964
786	3546	959
787	3551	955
788	3556	951
789	3562	946
790	3567	942
791	3572	938
792	3576	933
793	3582	929
794	3587	924
795	3592	920
796	3597	916
797	3603	912
798	3608	907
799	3613	903
800	3618	899
801	3623	894
802	3628	890
803	3633	885
804	3639	881
805	3644	877
806	3649	872
807	3653	868
808	3659	863
809	3664	859
810	3669	855
811	3690	854
812	3694	849
813	3699	845
814	3704	840
815	3709	836
816	3714	832
817	3719	827
818	3724	823
819	3728	818
820	3733	814
821	3738	809
822	3742	804
823	3747	800
824	3752	795
825	3756	791
826	3761	786
827	3766	782
828	3771	777
829	3776	773
830	3781	768
831	3786	764
832	3792	760
833	3797	755
834	3802	751
835	3807	746
836	3812	742
837	3816	737
838	3821	733
839	3827	729
840	3832	724
841	3837	720
842	3842	715
843	3847	711
844	3851	706
845	3856	702
846	3861	697
847	3865	692
848	3870	688
849	3875	683
850	3880	679
851	3885	674
852	3890	670
853	3894	665
854	3899	661
855	3903	656
856	3908	652
857	3913	647
858	3918	643
859	3922	638
860	3927	633
861	3931	629
862	3936	624
863	3941	620
864	3945	615
865	3951	611
866	3956	606
867	3961	602
868	3966	597
869	3972	593
870	3976	588
871	3981	584
872	3986	579
873	3990	575
874	3994	570
875	3999	566
876	4004	561
877	4008	557
878	4013	552
879	4018	547
880	4023	543
881	4027	538
882	4032	534
883	4037	529
884	4041	525
885	4046	520
886	4051	516
887	4055	511
888	4060	506
889	4064	502
890	4069	497
891	4074	493
892	4078	488
893	4083	484
894	4088	479
895	4092	475
896	4098	470
897	4102	466
898	4107	461
899	4112	456
900	4117	452
901	4121	447
902	4126	443
903	4131	438
904	4135	434
905	4140	429
906	4145	425
907	4149	420
908	4154	415
909	4159	411
910	4163	406
911	4167	402
912	4172	397
913	4176	393
914	4181	388
915	4185	383
916	4189	379
917	4193	374
918	4198	370
919	4202	365
920	4206	360
921	4210	356
922	4215	351
923	4220	347
924	4225	342
925	4230	338
926	4234	333
927	4239	328
928	4244	324
929	4249	319
930	4253	315
931	4258	310
932	4263	306
933	4267	301
934	4272	297
935	4276	292
936	4281	287
937	4285	283
938	4290	278
939	4294	274
940	4299	269
941	4303	264
942	4309	260
943	4314	255
944	4318	251
945	4324	246
946	4329	242
947	4334	237
948	4339	233
949	4344	228
950	4349	224
951	4354	219
952	4358	214
953	4363	210
954	4368	205
955	4373	201
956	4377	196
957	4382	192
958	4387	187
959	4400	183
960	4405	178
961	4410	174
962	4414	169
963	4419	165
964	4423	160
965	4428	155
966	4433	151
967	4438	146
968	4443	142
969	4448	137
970	4452	132
971	4457	128
972	4462	123
973	4466	119
974	4471	114
975	4476	110
976	4480	105
977	4485	100
978	4490	96
979	4495	91
980	4500	87
981	4505	82
982	4510	78
983	4515	73
984	4520	68
985	4525	64
986	4530	59
987	4535	55
988	4540	50
989	4545	45
990	4549	41
991	4554	36
992	4558	32
993	4563	27
994	4568	22
995	4572	18
996	4577	13
997	4582	9
998	4587	4
999	4592	0
