"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 03월 26일","53.55","52.89","54.05","52.89","36.75M","2.82%"
"2019년 03월 25일","52.08","51.94","52.64","50.89","51.08M","-1.57%"
"2019년 03월 22일","52.91","54.52","54.56","52.80","43.73M","-3.45%"
"2019년 03월 21일","54.80","54.52","55.29","53.69","29.74M","0.15%"
"2019년 03월 20일","54.72","53.94","54.99","53.26","34.54M","2.30%"
"2019년 03월 19일","53.49","53.50","54.66","52.69","59.00M","-0.76%"
"2019년 03월 18일","53.90","55.20","55.61","53.46","51.40M","-2.16%"
"2019년 03월 15일","55.09","56.70","56.74","54.88","73.93M","-5.00%"
"2019년 03월 14일","57.99","58.49","59.08","57.66","35.52M","0.35%"
"2019년 03월 13일","57.79","56.78","58.40","56.54","34.22M","1.98%"
"2019년 03월 12일","56.67","57.30","57.61","56.21","37.52M","-2.60%"
"2019년 03월 11일","58.18","56.70","58.26","56.10","36.96M","2.38%"
"2019년 03월 08일","56.83","55.38","57.12","55.18","44.10M","2.73%"
"2019년 03월 07일","55.32","55.77","56.94","54.85","47.21M","0.13%"
"2019년 03월 06일","55.25","55.30","56.30","54.88","51.68M","-0.11%"
"2019년 03월 05일","55.31","56.40","56.80","54.02","93.82M","-3.08%"
"2019년 03월 04일","57.07","59.62","59.80","56.56","85.48M","-3.21%"
"2019년 03월 01일","58.96","61.39","61.43","58.38","114.56M","-7.85%"
"2019년 02월 28일","63.98","63.78","64.00","62.16","52.60M","1.64%"
"2019년 02월 27일","62.95","60.36","63.26","60.11","55.92M","5.67%"
"2019년 02월 26일","59.57","58.44","60.40","57.75","42.91M","-0.30%"
"2019년 02월 25일","59.75","59.58","60.58","59.40","33.13M","1.37%"
"2019년 02월 22일","58.94","58.90","59.30","58.42","28.70M","1.18%"
"2019년 02월 21일","58.25","60.36","60.65","58.10","44.55M","-3.73%"
"2019년 02월 20일","60.51","60.88","61.26","59.80","35.71M","-1.01%"
"2019년 02월 19일","61.13","61.31","62.31","61.09","20.84M","-0.73%"
"2019년 02월 15일","61.58","60.90","61.60","60.78","19.52M","1.37%"
"2019년 02월 14일","60.75","60.68","61.35","60.20","26.00M","-1.43%"
"2019년 02월 13일","61.63","62.47","62.55","61.11","25.71M","-1.17%"
"2019년 02월 12일","62.36","63.24","63.64","61.92","27.59M","-0.34%"
"2019년 02월 11일","62.57","62.32","63.72","62.10","35.65M","2.31%"
"2019년 02월 08일","61.16","61.37","61.49","59.70","29.22M","-0.55%"
"2019년 02월 07일","61.50","62.66","62.94","60.60","32.60M","-3.06%"
"2019년 02월 06일","63.44","63.92","64.85","63.12","25.19M","-1.29%"
"2019년 02월 05일","64.27","62.50","64.49","62.45","33.71M","2.70%"
"2019년 02월 04일","62.58","62.60","63.06","60.38","36.76M","0.22%"
"2019년 02월 01일","62.44","61.08","63.22","60.70","36.42M","1.69%"
"2019년 01월 31일","61.40","60.20","62.31","58.80","62.85M","-0.57%"
"2019년 01월 30일","61.75","60.09","61.80","59.70","56.25M","3.80%"
"2019년 01월 29일","59.49","59.05","59.71","58.36","23.11M","0.35%"
"2019년 01월 28일","59.28","58.58","59.49","57.55","32.12M","-0.22%"
"2019년 01월 25일","59.41","58.88","59.70","57.91","36.29M","1.90%"
"2019년 01월 24일","58.30","56.61","58.74","55.86","40.06M","1.36%"
"2019년 01월 23일","57.52","58.50","58.90","56.34","62.65M","-3.78%"
"2019년 01월 22일","59.78","60.96","61.60","59.10","60.33M","-1.11%"
"2019년 01월 18일","60.45","64.60","65.43","59.95","120.75M","-12.97%"
"2019년 01월 17일","69.46","69.24","70.30","68.83","18.38M","0.36%"
"2019년 01월 16일","69.21","68.96","70.40","68.70","23.46M","0.46%"
"2019년 01월 15일","68.89","67.00","69.76","66.90","30.28M","3.01%"
"2019년 01월 14일","66.88","68.48","68.50","66.80","26.24M","-3.70%"
