"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 11월 19일","6,243.25","6,235.25","6,259.50","6,191.75","-","-0.01%"
"2018년 11월 16일","6,243.75","6,186.25","6,278.75","6,154.00","-","0.70%"
"2018년 11월 15일","6,200.25","6,110.75","6,212.50","6,095.25","-","1.61%"
"2018년 11월 14일","6,102.00","6,062.25","6,122.75","6,032.75","-","0.91%"
"2018년 11월 13일","6,047.25","6,027.50","6,180.50","6,016.75","-","0.10%"
"2018년 11월 12일","6,041.00","6,048.25","6,085.25","6,038.25","-","0.03%"
"2018년 11월 09일","6,039.25","6,130.25","6,136.50","6,035.25","-","-1.67%"
"2018년 11월 08일","6,142.00","6,150.25","6,170.75","6,084.50","-","-0.19%"
"2018년 11월 07일","6,153.50","6,155.50","6,219.00","6,137.00","-","0.18%"
"2018년 11월 06일","6,142.25","6,194.25","6,226.50","6,135.75","-","-0.63%"
"2018년 11월 05일","6,181.50","6,301.00","6,301.00","6,171.50","-","-1.97%"
"2018년 11월 02일","6,306.00","6,133.00","6,314.00","6,089.50","-","2.75%"
"2018년 11월 01일","6,137.25","6,010.50","6,142.00","5,974.50","-","2.32%"
"2018년 10월 31일","5,998.25","6,029.50","6,057.00","5,984.75","-","-0.46%"
"2018년 10월 30일","6,025.75","6,125.50","6,155.25","6,014.50","-","-1.66%"
"2018년 10월 29일","6,127.75","6,198.75","6,239.50","6,127.75","-","-0.87%"
"2018년 10월 26일","6,181.50","6,187.00","6,191.50","6,100.75","-","-0.23%"
"2018년 10월 25일","6,196.00","6,164.75","6,227.00","6,114.25","-","0.25%"
"2018년 10월 24일","6,180.50","6,198.25","6,274.50","6,171.50","-","-0.08%"
"2018년 10월 23일","6,185.25","6,224.75","6,237.25","6,147.75","-","-0.72%"
"2018년 10월 22일","6,230.25","6,223.50","6,332.00","6,211.75","-","0.14%"
"2018년 10월 19일","6,221.75","6,135.00","6,242.75","6,126.00","-","1.48%"
"2018년 10월 18일","6,131.25","6,213.75","6,228.00","6,122.75","-","-1.43%"
"2018년 10월 17일","6,220.25","6,229.00","6,275.25","6,175.75","-","-0.22%"
"2018년 10월 16일","6,233.75","6,232.75","6,252.75","6,184.00","-","-0.11%"
"2018년 10월 15일","6,240.75","6,293.75","6,341.25","6,234.25","-","-0.73%"
"2018년 10월 12일","6,286.50","6,230.25","6,334.00","6,227.25","-","0.22%"
"2018년 10월 11일","6,272.50","6,196.50","6,296.50","6,092.25","-","0.90%"
"2018년 10월 10일","6,216.50","6,300.25","6,312.00","6,213.50","-","-1.23%"
"2018년 10월 09일","6,294.00","6,201.25","6,301.50","6,164.25","-","1.54%"
"2018년 10월 08일","6,198.75","6,166.50","6,223.75","6,127.50","-","0.20%"
"2018년 10월 05일","6,186.50","6,235.75","6,243.75","6,153.75","-","-0.65%"
"2018년 10월 04일","6,226.75","6,305.50","6,391.50","6,207.50","-","-1.67%"
"2018년 10월 03일","6,332.75","6,265.75","6,339.00","6,253.75","-","1.26%"
"2018년 10월 02일","6,254.00","6,238.25","6,355.00","6,178.25","-","0.25%"
"2018년 10월 01일","6,238.25","6,256.25","6,280.25","6,153.75","-","-0.33%"
"2018년 09월 28일","6,258.75","6,179.00","6,267.50","6,159.25","-","1.30%"
"2018년 09월 27일","6,178.25","6,278.50","6,290.75","6,163.00","-","-1.76%"
"2018년 09월 26일","6,288.75","6,279.25","6,316.25","6,258.00","-","0.12%"
"2018년 09월 25일","6,281.00","6,297.50","6,327.75","6,212.75","-","-0.26%"
"2018년 09월 24일","6,297.25","6,320.00","6,374.25","6,290.25","-","-0.61%"
"2018년 09월 21일","6,335.75","6,144.75","6,380.00","6,132.50","-","3.58%"
"2018년 09월 20일","6,116.75","6,097.00","6,123.50","6,045.50","-","0.48%"
"2018년 09월 19일","6,087.25","6,107.75","6,146.00","6,070.00","-","-0.05%"
"2018년 09월 18일","6,090.50","5,860.50","6,118.25","5,855.25","-","2.37%"
"2018년 09월 17일","5,949.50","5,871.25","5,955.50","5,864.25","-","0.75%"
"2018년 09월 14일","5,905.50","5,998.25","6,036.25","5,896.25","-","-1.42%"
"2018년 09월 13일","5,990.50","5,998.00","6,073.50","5,985.25","-","-0.10%"
"2018년 09월 12일","5,996.25","5,885.75","6,011.25","5,851.00","-","1.98%"
"2018년 09월 11일","5,879.75","5,889.00","5,962.50","5,808.00","-","-0.15%"
"2018년 09월 10일","5,888.75","5,880.50","5,909.50","5,850.75","-","0.18%"
"2018년 09월 07일","5,878.25","5,914.75","5,946.75","5,832.00","-","-0.52%"
"2018년 09월 06일","5,908.75","5,890.50","5,987.00","5,869.75","-","0.45%"
"2018년 09월 05일","5,882.00","5,846.25","5,889.75","5,826.25","-","0.72%"
"2018년 09월 04일","5,839.75","5,953.25","5,973.50","5,801.75","-","-1.79%"
"2018년 09월 03일","5,946.00","5,977.25","6,001.75","5,945.50","-","-0.67%"
"2018년 08월 31일","5,986.25","6,038.25","6,070.25","5,963.50","-","-1.46%"
"2018년 08월 30일","6,075.00","6,095.50","6,115.50","6,010.75","-","-0.30%"
"2018년 08월 29일","6,093.00","6,129.50","6,149.00","6,071.50","-","-0.64%"
"2018년 08월 28일","6,132.50","6,100.75","6,166.50","6,057.50","-","1.05%"
"2018년 08월 24일","6,068.75","5,967.00","6,116.25","5,960.50","-","1.75%"
"2018년 08월 23일","5,964.25","5,997.75","5,999.25","5,901.75","-","-0.81%"
"2018년 08월 22일","6,013.25","6,034.00","6,056.50","5,975.50","-","-0.77%"
"2018년 08월 21일","6,060.00","6,000.50","6,074.75","5,994.00","-","1.14%"
"2018년 08월 20일","5,991.50","5,967.75","6,032.75","5,951.75","-","0.98%"
"2018년 08월 17일","5,933.50","5,890.25","5,944.50","5,866.00","-","0.77%"
"2018년 08월 16일","5,888.25","5,829.00","5,957.50","5,801.25","-","0.96%"
"2018년 08월 15일","5,832.00","6,042.75","6,043.00","5,774.25","-","-3.54%"
