,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
593,2017-04-11,8717.888888888889,6660.222222222223,2058.5555555555557,-677.3333333333334,-727.7777777777778,25164.0,23.607235624934628,-7.789537823465264,-0.9388888888888889,-63.93888888888889,-3.9444444444444446
594,2017-04-12,8742.015873015873,6678.111111111111,2064.777777777778,-677.3809523809524,-728.4603174603175,25179.714285714286,23.612553830197836,-7.771035389643506,-0.9387301587301586,-64.1815873015873,-3.9365079365079367
595,2017-04-13,8766.142857142857,6696.0,2071.0,-677.4285714285714,-729.1428571428571,25195.428571428572,23.61787203546104,-7.752532955821748,-0.9385714285714285,-64.42428571428572,-3.9285714285714284
596,2017-04-17,8790.269841269841,6713.888888888889,2077.222222222222,-677.4761904761905,-729.8253968253969,25211.14285714286,23.62319024072425,-7.7340305219999905,-0.9384126984126984,-64.66698412698413,-3.9206349206349205
597,2017-04-18,8814.396825396825,6731.777777777777,2083.4444444444443,-677.5238095238095,-730.5079365079365,25226.85714285714,23.628508445987457,-7.715528088178233,-0.9382539682539682,-64.90968253968254,-3.9126984126984126
598,2017-04-19,8838.52380952381,6749.666666666667,2089.6666666666665,-677.5714285714286,-731.1904761904761,25242.571428571428,23.633826651250665,-7.697025654356474,-0.9380952380952381,-65.15238095238095,-3.9047619047619047
599,2017-04-20,8862.650793650793,6767.555555555556,2095.8888888888887,-677.6190476190476,-731.8730158730159,25258.285714285714,23.639144856513873,-7.678523220534716,-0.937936507936508,-65.39507936507937,-3.8968253968253967
600,2017-04-21,8886.777777777777,6785.444444444444,2102.1111111111113,-677.6666666666666,-732.5555555555555,25274.0,23.64446306177708,-7.660020786712958,-0.9377777777777777,-65.63777777777779,-3.888888888888889
601,2017-04-24,8910.904761904761,6803.333333333333,2108.3333333333335,-677.7142857142857,-733.2380952380952,25289.714285714286,23.649781267040286,-7.6415183528912,-0.9376190476190476,-65.88047619047619,-3.880952380952381
602,2017-04-25,8935.031746031746,6821.222222222223,2114.5555555555557,-677.7619047619048,-733.9206349206349,25305.428571428572,23.655099472303494,-7.623015919069442,-0.9374603174603174,-66.1231746031746,-3.873015873015873
603,2017-04-26,8959.15873015873,6839.111111111111,2120.777777777778,-677.8095238095239,-734.6031746031746,25321.14285714286,23.660417677566702,-7.604513485247685,-0.9373015873015873,-66.36587301587302,-3.865079365079365
604,2017-04-27,8983.285714285714,6857.0,2127.0,-677.8571428571429,-735.2857142857143,25336.85714285714,23.66573588282991,-7.586011051425927,-0.9371428571428572,-66.60857142857142,-3.857142857142857
605,2017-04-28,9007.412698412698,6874.888888888889,2133.222222222222,-677.9047619047619,-735.968253968254,25352.571428571428,23.67105408809312,-7.567508617604169,-0.9369841269841269,-66.85126984126984,-3.8492063492063493
606,2017-05-01,9031.539682539682,6892.777777777777,2139.4444444444443,-677.952380952381,-736.6507936507936,25368.285714285714,23.676372293356327,-7.54900618378241,-0.9368253968253968,-67.09396825396826,-3.8412698412698414
607,2017-05-02,9055.666666666666,6910.666666666667,2145.6666666666665,-678.0,-737.3333333333334,25384.0,23.68169049861953,-7.530503749960652,-0.9366666666666666,-67.33666666666667,-3.8333333333333335
608,2017-05-03,9079.79365079365,6928.555555555556,2151.8888888888887,-678.047619047619,-738.015873015873,25399.714285714286,23.68700870388274,-7.512001316138894,-0.9365079365079365,-67.57936507936508,-3.8253968253968256
609,2017-05-04,9103.920634920634,6946.444444444444,2158.1111111111113,-678.0952380952381,-738.6984126984127,25415.428571428572,23.692326909145947,-7.4934988823171365,-0.9363492063492064,-67.82206349206349,-3.8174603174603177
610,2017-05-05,9128.047619047618,6964.333333333333,2164.3333333333335,-678.1428571428571,-739.3809523809524,25431.14285714286,23.697645114409156,-7.474996448495379,-0.9361904761904761,-68.06476190476191,-3.8095238095238093
611,2017-05-08,9152.174603174602,6982.222222222223,2170.5555555555557,-678.1904761904761,-740.063492063492,25446.85714285714,23.702963319672364,-7.456494014673621,-0.936031746031746,-68.30746031746033,-3.8015873015873014
612,2017-05-09,9176.301587301587,7000.111111111111,2176.777777777778,-678.2380952380952,-740.7460317460318,25462.571428571428,23.70828152493557,-7.437991580851863,-0.9358730158730159,-68.55015873015873,-3.7936507936507935
613,2017-05-10,9200.42857142857,7018.0,2183.0,-678.2857142857143,-741.4285714285714,25478.285714285714,23.713599730198776,-7.419489147030104,-0.9357142857142857,-68.79285714285714,-3.7857142857142856
614,2017-05-11,9224.555555555555,7035.888888888889,2189.222222222222,-678.3333333333334,-742.1111111111111,25494.0,23.718917935461985,-7.400986713208346,-0.9355555555555556,-69.03555555555556,-3.7777777777777777
615,2017-05-12,9248.682539682539,7053.777777777777,2195.4444444444443,-678.3809523809524,-742.7936507936508,25509.714285714286,23.724236140725193,-7.382484279386588,-0.9353968253968253,-69.27825396825396,-3.7698412698412698
616,2017-05-15,9272.809523809523,7071.666666666667,2201.6666666666665,-678.4285714285714,-743.4761904761905,25525.428571428572,23.7295543459884,-7.3639818455648305,-0.9352380952380952,-69.52095238095238,-3.761904761904762
617,2017-05-16,9296.936507936509,7089.555555555556,2207.8888888888887,-678.4761904761905,-744.1587301587301,25541.14285714286,23.73487255125161,-7.345479411743073,-0.9350793650793651,-69.7636507936508,-3.753968253968254
618,2017-05-17,9321.063492063491,7107.444444444444,2214.1111111111113,-678.5238095238095,-744.8412698412699,25556.85714285714,23.740190756514814,-7.326976977921315,-0.9349206349206349,-70.00634920634921,-3.746031746031746
619,2017-05-18,9345.190476190477,7125.333333333333,2220.3333333333335,-678.5714285714286,-745.5238095238095,25572.571428571428,23.74550896177802,-7.308474544099557,-0.9347619047619048,-70.24904761904762,-3.738095238095238
620,2017-05-19,9369.31746031746,7143.222222222223,2226.5555555555557,-678.6190476190476,-746.2063492063492,25588.285714285714,23.75082716704123,-7.289972110277799,-0.9346031746031747,-70.49174603174603,-3.7301587301587302
621,2017-05-22,9393.444444444445,7161.111111111111,2232.777777777778,-678.6666666666666,-746.8888888888889,25604.0,23.756145372304438,-7.271469676456041,-0.9344444444444444,-70.73444444444445,-3.7222222222222223
622,2017-05-23,9417.57142857143,7179.0,2239.0,-678.7142857142857,-747.5714285714286,25619.714285714286,23.761463577567646,-7.252967242634282,-0.9342857142857143,-70.97714285714287,-3.7142857142857144
623,2017-05-24,9441.698412698413,7196.888888888889,2245.222222222222,-678.7619047619048,-748.2539682539682,25635.428571428572,23.766781782830854,-7.2344648088125245,-0.9341269841269841,-71.21984126984127,-3.7063492063492065
624,2017-05-25,9465.825396825398,7214.777777777777,2251.4444444444443,-678.8095238095239,-748.936507936508,25651.14285714286,23.77209998809406,-7.215962374990767,-0.933968253968254,-71.46253968253968,-3.6984126984126986
625,2017-05-26,9489.952380952382,7232.666666666667,2257.6666666666665,-678.8571428571429,-749.6190476190476,25666.85714285714,23.777418193357267,-7.197459941169009,-0.9338095238095239,-71.7052380952381,-3.6904761904761907
626,2017-05-30,9514.079365079366,7250.555555555556,2263.8888888888887,-678.9047619047619,-750.3015873015873,25682.571428571428,23.782736398620475,-7.178957507347251,-0.9336507936507936,-71.9479365079365,-3.682539682539683
627,2017-05-31,9538.20634920635,7268.444444444444,2270.1111111111113,-678.952380952381,-750.984126984127,25698.285714285714,23.788054603883683,-7.160455073525493,-0.9334920634920635,-72.19063492063492,-3.674603174603175
628,2017-06-01,9562.333333333334,7286.333333333333,2276.3333333333335,-679.0,-751.6666666666666,25714.0,23.79337280914689,-7.141952639703735,-0.9333333333333333,-72.43333333333334,-3.6666666666666665
629,2017-06-02,9586.460317460318,7304.222222222223,2282.5555555555557,-679.047619047619,-752.3492063492064,25729.714285714286,23.798691014410096,-7.123450205881976,-0.9331746031746032,-72.67603174603175,-3.6587301587301586
630,2017-06-05,9610.587301587302,7322.111111111111,2288.777777777778,-679.0952380952381,-753.031746031746,25745.428571428572,23.804009219673304,-7.1049477720602185,-0.9330158730158731,-72.91873015873016,-3.6507936507936507
631,2017-06-06,9634.714285714286,7340.0,2295.0,-679.1428571428571,-753.7142857142857,25761.14285714286,23.809327424936512,-7.086445338238461,-0.9328571428571428,-73.16142857142857,-3.642857142857143
632,2017-06-07,9658.84126984127,7357.888888888889,2301.222222222222,-679.1904761904761,-754.3968253968254,25776.85714285714,23.81464563019972,-7.067942904416703,-0.9326984126984127,-73.40412698412699,-3.634920634920635
633,2017-06-08,9682.968253968254,7375.777777777777,2307.4444444444443,-679.2380952380952,-755.0793650793651,25792.571428571428,23.81996383546293,-7.049440470594945,-0.9325396825396826,-73.64682539682539,-3.626984126984127
634,2017-06-09,9707.095238095239,7393.666666666667,2313.6666666666665,-679.2857142857143,-755.7619047619048,25808.285714285714,23.825282040726137,-7.030938036773187,-0.9323809523809524,-73.88952380952381,-3.619047619047619
635,2017-06-12,9731.222222222223,7411.555555555556,2319.8888888888887,-679.3333333333334,-756.4444444444445,25824.0,23.83060024598934,-7.012435602951429,-0.9322222222222223,-74.13222222222223,-3.611111111111111
636,2017-06-13,9755.349206349207,7429.444444444444,2326.1111111111113,-679.3809523809524,-757.1269841269841,25839.714285714286,23.83591845125255,-6.9939331691296704,-0.932063492063492,-74.37492063492064,-3.6031746031746033
637,2017-06-14,9779.47619047619,7447.333333333333,2332.3333333333335,-679.4285714285714,-757.8095238095239,25855.428571428572,23.841236656515758,-6.975430735307913,-0.9319047619047619,-74.61761904761904,-3.5952380952380953
638,2017-06-15,9803.603174603175,7465.222222222223,2338.5555555555557,-679.4761904761905,-758.4920634920635,25871.14285714286,23.846554861778966,-6.956928301486155,-0.9317460317460318,-74.86031746031746,-3.5873015873015874
639,2017-06-16,9827.730158730159,7483.111111111111,2344.777777777778,-679.5238095238095,-759.1746031746031,25886.85714285714,23.851873067042174,-6.938425867664397,-0.9315873015873016,-75.10301587301588,-3.5793650793650795
640,2017-06-19,9851.857142857143,7501.0,2351.0,-679.5714285714286,-759.8571428571429,25902.571428571428,23.857191272305382,-6.919923433842639,-0.9314285714285715,-75.34571428571428,-3.5714285714285716
641,2017-06-20,9875.984126984127,7518.888888888889,2357.222222222222,-679.6190476190476,-760.5396825396825,25918.285714285714,23.862509477568587,-6.901421000020881,-0.9312698412698414,-75.5884126984127,-3.5634920634920633
642,2017-06-21,9900.111111111111,7536.777777777777,2363.4444444444443,-679.6666666666666,-761.2222222222222,25934.0,23.867827682831795,-6.882918566199123,-0.9311111111111111,-75.83111111111111,-3.5555555555555554
643,2017-06-22,9924.238095238095,7554.666666666667,2369.6666666666665,-679.7142857142857,-761.9047619047619,25949.714285714286,23.873145888095003,-6.864416132377365,-0.930952380952381,-76.07380952380953,-3.5476190476190474
644,2017-06-23,9948.36507936508,7572.555555555556,2375.8888888888887,-679.7619047619048,-762.5873015873016,25965.428571428572,23.87846409335821,-6.8459136985556075,-0.9307936507936508,-76.31650793650793,-3.5396825396825395
645,2017-06-26,9972.492063492064,7590.444444444444,2382.1111111111113,-679.8095238095239,-763.2698412698413,25981.14285714286,23.88378229862142,-6.827411264733849,-0.9306349206349207,-76.55920634920635,-3.5317460317460316
646,2017-06-27,9996.619047619048,7608.333333333333,2388.3333333333335,-679.8571428571429,-763.952380952381,25996.85714285714,23.889100503884627,-6.808908830912091,-0.9304761904761906,-76.80190476190477,-3.5238095238095237
647,2017-06-28,10020.746031746032,7626.222222222223,2394.5555555555557,-679.9047619047619,-764.6349206349206,26012.571428571428,23.894418709147832,-6.790406397090333,-0.9303174603174603,-77.04460317460318,-3.515873015873016
648,2017-06-29,10044.873015873016,7644.111111111111,2400.777777777778,-679.952380952381,-765.3174603174604,26028.285714285714,23.89973691441104,-6.771903963268575,-0.9301587301587302,-77.28730158730158,-3.507936507936508
649,2017-06-30,10069.0,7662.0,2407.0,-680.0,-766.0,26044.0,23.90505511967425,-6.753401529446817,-0.93,-77.53,-3.5
650,2017-07-03,10099.2175066313,7687.880636604775,2411.336870026525,-679.2254641909815,-766.5570291777188,26053.80371352785,23.89160448089004,-6.74028356959398,-0.9305570291777189,-77.47968169761273,-3.49973474801061
651,2017-07-05,10129.435013262599,7713.7612732095495,2415.6737400530506,-678.4509283819629,-767.1140583554377,26063.607427055704,23.87815384210584,-6.727165609741142,-0.9311140583554377,-77.42936339522547,-3.49946949602122
652,2017-07-06,10159.6525198939,7739.641909814323,2420.0106100795756,-677.6763925729443,-767.6710875331565,26073.411140583554,23.864703203321632,-6.714047649888305,-0.9316710875331565,-77.3790450928382,-3.49920424403183
653,2017-07-07,10189.8700265252,7765.522546419098,2424.3474801061006,-676.9018567639257,-768.2281167108754,26083.214854111407,23.85125256453743,-6.700929690035467,-0.9322281167108754,-77.32872679045093,-3.4989389920424405
654,2017-07-10,10220.087533156498,7791.403183023873,2428.684350132626,-676.1273209549072,-768.7851458885941,26093.018567639258,23.837801925753222,-6.68781173018263,-0.9327851458885942,-77.27840848806366,-3.4986737400530505
655,2017-07-11,10250.305039787798,7817.2838196286475,2433.021220159151,-675.3527851458886,-769.342175066313,26102.822281167108,23.82435128696902,-6.674693770329792,-0.933342175066313,-77.2280901856764,-3.4984084880636606
656,2017-07-12,10280.522546419099,7843.164456233421,2437.3580901856762,-674.57824933687,-769.8992042440318,26112.62599469496,23.810900648184813,-6.661575810476955,-0.9338992042440318,-77.17777188328913,-3.4981432360742706
657,2017-07-13,10310.740053050398,7869.045092838196,2441.6949602122017,-673.8037135278514,-770.4562334217507,26122.42970822281,23.79745000940061,-6.648457850624117,-0.9344562334217507,-77.12745358090186,-3.4978779840848806
658,2017-07-14,10340.957559681698,7894.925729442971,2446.031830238727,-673.0291777188329,-771.0132625994695,26132.23342175066,23.783999370616403,-6.63533989077128,-0.9350132625994696,-77.07713527851459,-3.4976127320954906
659,2017-07-17,10371.175066312997,7920.8063660477455,2450.368700265252,-672.2546419098143,-771.5702917771883,26142.037135278515,23.7705487318322,-6.6222219309184425,-0.9355702917771884,-77.02681697612732,-3.4973474801061006
660,2017-07-18,10401.392572944296,7946.68700265252,2454.7055702917773,-671.4801061007958,-772.1273209549072,26151.840848806365,23.757098093047993,-6.609103971065605,-0.9361273209549072,-76.97649867374005,-3.4970822281167107
661,2017-07-19,10431.610079575597,7972.567639257294,2459.0424403183024,-670.7055702917772,-772.684350132626,26161.64456233422,23.74364745426379,-6.5959860112127675,-0.9366843501326261,-76.92618037135279,-3.496816976127321
662,2017-07-20,10461.827586206897,7998.448275862069,2463.3793103448274,-669.9310344827586,-773.2413793103449,26171.44827586207,23.730196815479584,-6.58286805135993,-0.9372413793103449,-76.87586206896552,-3.496551724137931
663,2017-07-21,10492.045092838196,8024.328912466844,2467.716180371353,-669.1564986737401,-773.7984084880636,26181.25198938992,23.71674617669538,-6.5697500915070925,-0.9377984084880637,-76.82554376657825,-3.496286472148541
664,2017-07-24,10522.262599469495,8050.209549071618,2472.053050397878,-668.3819628647215,-774.3554376657825,26191.055702917773,23.703295537911174,-6.556632131654255,-0.9383554376657826,-76.77522546419098,-3.496021220159151
665,2017-07-25,10552.480106100797,8076.090185676392,2476.389920424403,-667.6074270557029,-774.9124668435013,26200.859416445623,23.689844899126967,-6.543514171801418,-0.9389124668435014,-76.72490716180371,-3.495755968169761
666,2017-07-26,10582.697612732096,8101.970822281167,2480.7267904509285,-666.8328912466843,-775.4694960212202,26210.663129973476,23.676394260342764,-6.530396211948579,-0.9394694960212202,-76.67458885941645,-3.495490716180371
667,2017-07-27,10612.915119363395,8127.851458885942,2485.0636604774536,-666.0583554376658,-776.026525198939,26220.466843501326,23.662943621558558,-6.517278252095742,-0.940026525198939,-76.62427055702918,-3.4952254641909812
668,2017-07-28,10643.132625994695,8153.732095490716,2489.4005305039786,-665.2838196286472,-776.5835543766578,26230.270557029176,23.649492982774355,-6.504160292242904,-0.9405835543766579,-76.57395225464191,-3.4949602122015917
669,2017-07-31,10673.350132625994,8179.612732095491,2493.737400530504,-664.5092838196286,-777.1405835543767,26240.07427055703,23.636042343990148,-6.491042332390067,-0.9411405835543767,-76.52363395225464,-3.4946949602122017
670,2017-08-01,10703.567639257295,8205.493368700265,2498.074270557029,-663.7347480106101,-777.6976127320955,26249.87798408488,23.622591705205945,-6.477924372537229,-0.9416976127320955,-76.47331564986737,-3.4944297082228117
671,2017-08-02,10733.785145888594,8231.37400530504,2502.4111405835542,-662.9602122015915,-778.2546419098143,26259.681697612734,23.60914106642174,-6.464806412684392,-0.9422546419098143,-76.4229973474801,-3.4941644562334218
672,2017-08-03,10764.002652519894,8257.254641909814,2506.7480106100797,-662.185676392573,-778.8116710875331,26269.485411140584,23.595690427637535,-6.451688452831554,-0.9428116710875332,-76.37267904509284,-3.4938992042440318
673,2017-08-04,10794.220159151193,8283.135278514588,2511.084880636605,-661.4111405835544,-779.368700265252,26279.289124668434,23.58223978885333,-6.438570492978717,-0.943368700265252,-76.32236074270557,-3.493633952254642
674,2017-08-07,10824.437665782494,8309.015915119364,2515.42175066313,-660.6366047745358,-779.9257294429708,26289.092838196288,23.568789150069126,-6.425452533125879,-0.9439257294429708,-76.2720424403183,-3.493368700265252
675,2017-08-08,10854.655172413793,8334.896551724138,2519.7586206896553,-659.8620689655172,-780.4827586206897,26298.896551724138,23.55533851128492,-6.412334573273042,-0.9444827586206896,-76.22172413793103,-3.4931034482758623
676,2017-08-09,10884.872679045093,8360.777188328913,2524.0954907161804,-659.0875331564987,-781.0397877984085,26308.700265251988,23.541887872500716,-6.399216613420204,-0.9450397877984085,-76.17140583554377,-3.4928381962864723
677,2017-08-10,10915.090185676392,8386.657824933687,2528.4323607427054,-658.3129973474801,-781.5968169761273,26318.50397877984,23.52843723371651,-6.386098653567367,-0.9455968169761274,-76.1210875331565,-3.4925729442970823
678,2017-08-11,10945.307692307691,8412.538461538461,2532.769230769231,-657.5384615384615,-782.1538461538462,26328.30769230769,23.514986594932306,-6.3729806937145295,-0.9461538461538462,-76.07076923076923,-3.4923076923076923
679,2017-08-14,10975.525198938993,8438.419098143237,2537.106100795756,-656.7639257294429,-782.710875331565,26338.111405835545,23.5015359561481,-6.359862733861692,-0.9467108753315651,-76.02045092838196,-3.4920424403183024
680,2017-08-15,11005.742705570292,8464.29973474801,2541.442970822281,-655.9893899204244,-783.2679045092838,26347.915119363395,23.488085317363893,-6.3467447740088545,-0.9472679045092839,-75.9701326259947,-3.4917771883289124
681,2017-08-16,11035.960212201591,8490.180371352784,2545.7798408488065,-655.2148541114059,-783.8249336870026,26357.718832891245,23.47463467857969,-6.333626814156017,-0.9478249336870027,-75.91981432360743,-3.4915119363395224
682,2017-08-17,11066.17771883289,8516.06100795756,2550.1167108753316,-654.4403183023873,-784.3819628647215,26367.5225464191,23.461184039795484,-6.3205088543031795,-0.9483819628647215,-75.86949602122016,-3.4912466843501324
683,2017-08-18,11096.395225464192,8541.941644562334,2554.4535809018566,-653.6657824933687,-784.9389920424403,26377.32625994695,23.44773340101128,-6.307390894450342,-0.9489389920424404,-75.81917771883289,-3.490981432360743
684,2017-08-21,11126.612732095491,8567.82228116711,2558.790450928382,-652.8912466843501,-785.4960212201592,26387.129973474803,23.434282762227074,-6.294272934597505,-0.9494960212201592,-75.76885941644562,-3.490716180371353
685,2017-08-22,11156.83023872679,8593.702917771883,2563.127320954907,-652.1167108753316,-786.053050397878,26396.933687002653,23.42083212344287,-6.281154974744667,-0.950053050397878,-75.71854111405835,-3.490450928381963
686,2017-08-23,11187.04774535809,8619.583554376657,2567.4641909814322,-651.342175066313,-786.6100795755968,26406.737400530503,23.407381484658664,-6.26803701489183,-0.9506100795755968,-75.66822281167109,-3.490185676392573
687,2017-08-24,11217.265251989389,8645.464190981433,2571.8010610079577,-650.5676392572944,-787.1671087533157,26416.541114058356,23.39393084587446,-6.254919055038992,-0.9511671087533157,-75.61790450928382,-3.489920424403183
688,2017-08-25,11247.48275862069,8671.344827586207,2576.137931034483,-649.7931034482758,-787.7241379310345,26426.344827586207,23.380480207090255,-6.241801095186155,-0.9517241379310345,-75.56758620689655,-3.489655172413793
689,2017-08-28,11277.70026525199,8697.225464190982,2580.474801061008,-649.0185676392573,-788.2811671087533,26436.148541114057,23.36702956830605,-6.228683135333317,-0.9522811671087533,-75.51726790450928,-3.489389920424403
690,2017-08-29,11307.917771883289,8723.106100795756,2584.8116710875333,-648.2440318302388,-788.8381962864721,26445.95225464191,23.353578929521845,-6.21556517548048,-0.9528381962864721,-75.46694960212201,-3.4891246684350135
691,2017-08-30,11338.135278514588,8748.98673740053,2589.1485411140584,-647.4694960212202,-789.395225464191,26455.75596816976,23.340128290737642,-6.202447215627642,-0.953395225464191,-75.41663129973475,-3.4888594164456235
692,2017-08-31,11368.35278514589,8774.867374005305,2593.4854111405834,-646.6949602122016,-789.9522546419098,26465.559681697614,23.326677651953435,-6.189329255774805,-0.9539522546419098,-75.36631299734748,-3.4885941644562335
693,2017-09-01,11398.570291777189,8800.74801061008,2597.822281167109,-645.920424403183,-790.5092838196286,26475.363395225464,23.313227013169232,-6.176211295921967,-0.9545092838196286,-75.31599469496021,-3.4883289124668435
694,2017-09-05,11428.787798408488,8826.628647214855,2602.159151193634,-645.1458885941645,-791.0663129973475,26485.167108753314,23.299776374385026,-6.16309333606913,-0.9550663129973476,-75.26567639257294,-3.4880636604774535
695,2017-09-06,11459.005305039787,8852.509283819629,2606.496021220159,-644.3713527851459,-791.6233421750663,26494.970822281168,23.28632573560082,-6.149975376216291,-0.9556233421750664,-75.21535809018567,-3.4877984084880636
696,2017-09-07,11489.222811671087,8878.389920424403,2610.8328912466845,-643.5968169761273,-792.1803713527852,26504.774535809018,23.272875096816616,-6.136857416363455,-0.9561803713527852,-75.1650397877984,-3.4875331564986736
697,2017-09-08,11519.440318302388,8904.270557029178,2615.1697612732096,-642.8222811671087,-792.7374005305039,26514.57824933687,23.25942445803241,-6.1237394565106165,-0.956737400530504,-75.11472148541114,-3.4872679045092836
698,2017-09-11,11549.657824933687,8930.151193633952,2619.5066312997346,-642.0477453580902,-793.2944297082228,26524.38196286472,23.245973819248206,-6.11062149665778,-0.9572944297082229,-75.06440318302387,-3.487002652519894
699,2017-09-12,11579.875331564986,8956.031830238728,2623.84350132626,-641.2732095490716,-793.8514588859416,26534.18567639257,23.232523180464,-6.0975035368049415,-0.9578514588859417,-75.0140848806366,-3.486737400530504
700,2017-09-13,11610.092838196286,8981.912466843502,2628.180371352785,-640.498673740053,-794.4084880636605,26543.989389920425,23.219072541679797,-6.084385576952104,-0.9584084880636605,-74.96376657824933,-3.486472148541114
701,2017-09-14,11640.310344827587,9007.793103448275,2632.5172413793102,-639.7241379310345,-794.9655172413793,26553.793103448275,23.20562190289559,-6.0712676170992665,-0.9589655172413794,-74.91344827586207,-3.486206896551724
702,2017-09-15,11670.527851458886,9033.673740053051,2636.8541114058357,-638.9496021220159,-795.5225464190981,26563.59681697613,23.192171264111387,-6.058149657246429,-0.9595225464190982,-74.8631299734748,-3.485941644562334
703,2017-09-18,11700.745358090186,9059.554376657825,2641.190981432361,-638.1750663129974,-796.079575596817,26573.40053050398,23.17872062532718,-6.045031697393592,-0.960079575596817,-74.81281167108753,-3.485676392572944
704,2017-09-19,11730.962864721485,9085.435013262599,2645.527851458886,-637.4005305039788,-796.6366047745358,26583.20424403183,23.165269986542977,-6.031913737540754,-0.9606366047745358,-74.76249336870026,-3.485411140583554
705,2017-09-20,11761.180371352784,9111.315649867374,2649.8647214854113,-636.6259946949602,-797.1936339522547,26593.007957559683,23.15181934775877,-6.018795777687917,-0.9611936339522547,-74.712175066313,-3.4851458885941646
706,2017-09-21,11791.397877984085,9137.196286472148,2654.2015915119364,-635.8514588859416,-797.7506631299734,26602.811671087533,23.138368708974568,-6.005677817835079,-0.9617506631299735,-74.66185676392573,-3.4848806366047747
707,2017-09-22,11821.615384615385,9163.076923076924,2658.5384615384614,-635.0769230769231,-798.3076923076923,26612.615384615383,23.12491807019036,-5.992559857982242,-0.9623076923076923,-74.61153846153846,-3.4846153846153847
708,2017-09-25,11851.832891246684,9188.957559681698,2662.875331564987,-634.3023872679045,-798.8647214854111,26622.419098143237,23.111467431406158,-5.979441898129404,-0.9628647214854111,-74.56122015915119,-3.4843501326259947
709,2017-09-26,11882.050397877983,9214.838196286473,2667.212201591512,-633.527851458886,-799.42175066313,26632.222811671087,23.09801679262195,-5.966323938276567,-0.96342175066313,-74.51090185676392,-3.4840848806366047
710,2017-09-27,11912.267904509285,9240.718832891247,2671.549071618037,-632.7533156498673,-799.9787798408488,26642.02652519894,23.084566153837745,-5.953205978423729,-0.9639787798408488,-74.46058355437665,-3.4838196286472147
711,2017-09-28,11942.485411140584,9266.59946949602,2675.8859416445625,-631.9787798408488,-800.5358090185676,26651.83023872679,23.071115515053542,-5.940088018570892,-0.9645358090185676,-74.41026525198939,-3.4835543766578247
712,2017-09-29,11972.702917771883,9292.480106100797,2680.2228116710876,-631.2042440318303,-801.0928381962865,26661.63395225464,23.057664876269335,-5.926970058718054,-0.9650928381962864,-74.35994694960212,-3.483289124668435
713,2017-10-02,12002.920424403183,9318.36074270557,2684.5596816976126,-630.4297082228117,-801.6498673740053,26671.437665782494,23.044214237485132,-5.913852098865217,-0.9656498673740054,-74.30962864721485,-3.4830238726790452
714,2017-10-03,12033.137931034482,9344.241379310344,2688.896551724138,-629.6551724137931,-802.2068965517242,26681.241379310344,23.030763598700926,-5.900734139012379,-0.9662068965517242,-74.25931034482758,-3.4827586206896552
715,2017-10-04,12063.355437665783,9370.12201591512,2693.233421750663,-628.8806366047745,-802.7639257294429,26691.045092838198,23.017312959916723,-5.887616179159542,-0.966763925729443,-74.20899204244031,-3.4824933687002653
716,2017-10-05,12093.572944297082,9396.002652519894,2697.5702917771882,-628.106100795756,-803.3209549071618,26700.848806366048,23.003862321132516,-5.874498219306704,-0.9673209549071619,-74.15867374005305,-3.4822281167108753
717,2017-10-06,12123.790450928382,9421.883289124667,2701.9071618037137,-627.3315649867374,-803.8779840848806,26710.652519893898,22.990411682348313,-5.861380259453867,-0.9678779840848807,-74.10835543766578,-3.4819628647214853
718,2017-10-09,12154.007957559681,9447.763925729443,2706.244031830239,-626.5570291777188,-804.4350132625995,26720.45623342175,22.976961043564106,-5.848262299601029,-0.9684350132625995,-74.05803713527851,-3.4816976127320953
719,2017-10-10,12184.225464190982,9473.644562334217,2710.580901856764,-625.7824933687002,-804.9920424403183,26730.2599469496,22.963510404779903,-5.835144339748192,-0.9689920424403183,-74.00771883289124,-3.4814323607427053
720,2017-10-11,12214.442970822281,9499.525198938993,2714.9177718832893,-625.0079575596817,-805.5490716180371,26740.063660477455,22.950059765995697,-5.822026379895354,-0.9695490716180372,-73.95740053050397,-3.481167108753316
721,2017-10-12,12244.66047745358,9525.405835543766,2719.2546419098144,-624.2334217506632,-806.106100795756,26749.867374005305,22.936609127211494,-5.808908420042517,-0.970106100795756,-73.9070822281167,-3.480901856763926
722,2017-10-13,12274.87798408488,9551.286472148542,2723.5915119363394,-623.4588859416446,-806.6631299734748,26759.671087533156,22.923158488427287,-5.7957904601896795,-0.9706631299734748,-73.85676392572944,-3.480636604774536
723,2017-10-16,12305.09549071618,9577.167108753316,2727.928381962865,-622.684350132626,-807.2201591511937,26769.47480106101,22.909707849643084,-5.782672500336842,-0.9712201591511936,-73.80644562334217,-3.480371352785146
724,2017-10-17,12335.31299734748,9603.04774535809,2732.26525198939,-621.9098143236074,-807.7771883289124,26779.27851458886,22.896257210858877,-5.7695545404840045,-0.9717771883289125,-73.7561273209549,-3.480106100795756
725,2017-10-18,12365.53050397878,9628.928381962865,2736.602122015915,-621.1352785145889,-808.3342175066313,26789.08222811671,22.88280657207467,-5.756436580631167,-0.9723342175066313,-73.70580901856763,-3.479840848806366
