,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
911,2018-07-17,17985.98673740053,14442.726790450928,3543.259946949602,-477.0716180371353,-911.9416445623342,28612.572944297084,20.38098775821255,-3.3164960480033905,-1.0759416445623342,-64.3466047745358,-3.4305039787798406
912,2018-07-18,18016.20424403183,14468.607427055704,3547.5968169761272,-476.29708222811666,-912.498673740053,28622.376657824934,20.36753711942835,-3.303378088150553,-1.076498673740053,-64.29628647214854,-3.430238726790451
913,2018-07-19,18046.421750663132,14494.488063660478,3551.9336870026527,-475.52254641909815,-913.0557029177719,28632.180371352784,20.354086480644142,-3.2902601282977155,-1.0770557029177719,-64.24596816976127,-3.429973474801061
914,2018-07-20,18076.63925729443,14520.368700265251,3556.270557029178,-474.7480106100796,-913.6127320954907,28641.984084880638,20.34063584185994,-3.2771421684448776,-1.0776127320954907,-64.195649867374,-3.429708222811671
915,2018-07-23,18106.85676392573,14546.249336870027,3560.607427055703,-473.973474801061,-914.1697612732096,28651.787798408488,20.327185203075732,-3.26402420859204,-1.0781697612732095,-64.14533156498673,-3.429442970822281
916,2018-07-24,18137.07427055703,14572.129973474803,3564.9442970822283,-473.19893899204243,-914.7267904509283,28661.591511936338,20.31373456429153,-3.2509062487392026,-1.0787267904509283,-64.09501326259947,-3.429177718832891
917,2018-07-25,18167.29177718833,14598.010610079575,3569.2811671087534,-472.42440318302386,-915.2838196286473,28671.39522546419,20.300283925507323,-3.237788288886365,-1.0792838196286472,-64.04469496021221,-3.428912466843501
918,2018-07-26,18197.50928381963,14623.89124668435,3573.6180371352784,-471.64986737400534,-915.840848806366,28681.19893899204,20.28683328672312,-3.2246703290335277,-1.079840848806366,-63.99437665782494,-3.428647214854111
919,2018-07-27,18227.726790450928,14649.771883289126,3577.954907161804,-470.8753315649867,-916.3978779840849,28691.002652519892,20.273382647938913,-3.21155236918069,-1.0803978779840848,-63.94405835543767,-3.4283819628647216
920,2018-07-30,18257.944297082227,14675.6525198939,3582.291777188329,-470.1007957559682,-916.9549071618037,28700.806366047746,20.25993200915471,-3.1984344093278527,-1.0809549071618036,-63.8937400530504,-3.4281167108753317
921,2018-07-31,18288.161803713527,14701.533156498674,3586.628647214854,-469.32625994694956,-917.5119363395225,28710.610079575596,20.246481370370503,-3.1853164494750152,-1.0815119363395225,-63.84342175066313,-3.4278514588859417
922,2018-08-01,18318.379310344826,14727.41379310345,3590.9655172413795,-468.55172413793105,-918.0689655172414,28720.41379310345,20.233030731586297,-3.1721984896221778,-1.0820689655172413,-63.793103448275865,-3.4275862068965517
